corner,temp,resistor,supply,dropout,line_reg
tt,85,180,2.1,error,error
fs_lh,85,180,2.3,1.55130000e-02,2.87250000e-03
fs_tt,0,180,2.1,1.32490000e-02,1.29250000e-03
ff_hl,27,180,2.5,1.44860000e-02,6.75000000e-05
ss_hh,27,36000.0,2.1,error,error
fs_lh,85,36000.0,2.3,1.17000000e-04,2.81625000e-03
fs_tt,0,36000.0,2.1,9.50000000e-05,1.32625000e-03
ff_hl,27,36000.0,2.5,1.04000000e-04,1.12500000e-04
tt,85,36000.0,2.1,error,error
ss_hh,85,18,2.3,2.21228000e-01,3.41800000e-02
fs_lh,0,18,2.3,1.30201000e-01,1.19000000e-03
fs_tt,27,18,2.1,error,error
ff_hl,85,18,2.1,error,error
tt,0,18,2.1,error,error
tt,0,180,2.1,error,error
ss_hh,85,180,2.3,2.31590000e-02,2.99625000e-03
fs_lh,0,180,2.3,1.32500000e-02,1.32250000e-03
fs_tt,27,180,2.1,1.40200000e-02,4.62500000e-05
ff_hl,85,180,2.1,error,error
ss_hh,85,36000.0,2.3,1.71000000e-04,2.91500000e-03
fs_lh,0,36000.0,2.3,9.60000000e-05,1.36250000e-03
fs_tt,27,36000.0,2.1,1.02000000e-04,8.37500000e-05
ff_hl,85,36000.0,2.1,1.18000000e-04,2.50625000e-03
ss_hh,0,18,2.3,3.11590000e-02,9.64877500e-01
fs_lh,27,18,2.3,1.37644000e-01,1.25000000e-04
fs_tt,85,18,2.3,1.52111000e-01,3.11250000e-03
ff_hl,0,18,2.1,error,error
sf_ll,0,180,2.5,error,error
ss_ll,0,180,2.1,error,error
fs_hh,27,180,2.5,1.40190000e-02,3.50000000e-05
sf_ll,0,36000.0,2.5,error,error
ss_ll,0,36000.0,2.1,error,error
fs_hh,27,36000.0,2.5,1.01000000e-04,7.25000000e-05
sf_ll,27,18,2.5,2.12018000e-01,1.08050000e-02
ss_ll,27,18,2.1,2.04092000e-01,6.28250000e-03
fs_hh,85,18,2.1,1.52109000e-01,3.01125000e-03
sf_ll,27,180,2.5,2.23750000e-02,2.71250000e-04
ss_ll,27,180,2.1,2.14090000e-02,2.08750000e-04
fs_hh,85,180,2.1,1.55100000e-02,2.72500000e-03
sf_ll,27,36000.0,2.5,1.66000000e-04,1.76250000e-04
ss_ll,27,36000.0,2.1,error,error
fs_hh,85,36000.0,2.1,1.14000000e-04,2.67250000e-03
sf_ll,85,18,2.1,2.28807000e-01,5.09287500e-02
ss_ll,85,18,2.3,2.21233000e-01,4.66487500e-02
fs_hh,0,18,2.1,1.30198000e-01,1.48375000e-03
sf_ll,85,180,2.1,2.40770000e-02,3.07375000e-03
ss_ll,85,180,2.3,2.31640000e-02,3.20250000e-03
fs_hh,0,180,2.1,error,error
sf_ll,85,36000.0,2.1,1.83000000e-04,2.95375000e-03
ss_ll,85,36000.0,2.3,1.76000000e-04,3.11375000e-03
fs_hh,0,36000.0,2.1,9.40000000e-05,1.29250000e-03
sf_ll,0,18,2.1,error,error
ss_ll,0,18,2.3,error,error
fs_hh,27,18,2.1,1.37641000e-01,1.25000000e-04
