corner,temp,resistor,supply,temp_coeff
fs_tt,0,180,2.3,3.53851655e+01
ss_tt,0,36000.0,2.5,4.95132483e+01
fs_hl,27,36000.0,2.1,4.20967793e+01
fs_tt,0,36000.0,2.3,3.57340478e+01
tt,85,36000.0,2.3,4.08546727e+01
tt,0,18,2.3,3.79836621e+01
ss_tt,27,18,2.5,5.17230863e+01
fs_hl,85,18,2.5,3.08645540e+01
fs_tt,27,18,2.3,3.30863397e+01
ss_tt,27,180,2.5,4.91643587e+01
fs_hl,85,180,2.5,3.06224695e+01
fs_tt,27,180,2.3,3.53851655e+01
tt,0,180,2.3,3.83758882e+01
tt,0,36000.0,2.3,4.08546727e+01
ss_tt,27,36000.0,2.5,4.95132483e+01
fs_hl,85,36000.0,2.5,3.03446975e+01
fs_tt,27,36000.0,2.3,3.57340478e+01
ss_tt,85,18,2.3,4.59641357e+01
fs_hl,0,18,2.5,3.08645540e+01
ff_hh,85,18,2.1,5.63360149e+01
tt,27,18,2.3,3.79836621e+01
ss_tt,85,180,2.3,4.64730217e+01
fs_hl,0,180,2.5,3.06224695e+01
ff_hh,85,180,2.1,5.57369927e+01
tt,27,180,2.3,3.83766167e+01
ss_tt,85,36000.0,2.3,4.39672854e+01
fs_hl,0,36000.0,2.5,3.03446975e+01
ff_hh,85,36000.0,2.1,5.53108467e+01
ss_tt,0,18,2.3,4.59641357e+01
fs_hl,27,18,2.5,3.08645540e+01
ff_hh,0,18,2.1,5.63360149e+01
ss_tt,0,180,2.3,4.64730217e+01
fs_hl,27,180,2.5,3.06224695e+01
ff_hh,0,180,2.1,error
fs_hh,27,18,2.1,4.30203853e+01
ss_tt,0,36000.0,2.3,4.39663481e+01
fs_hl,27,36000.0,2.5,3.03446975e+01
ff_hh,0,36000.0,2.1,5.53108467e+01
ss_tt,27,18,2.3,4.59641357e+01
fs_hl,85,18,2.3,3.56980274e+01
ff_hh,27,18,2.1,5.63360149e+01
ss_tt,27,180,2.3,4.64730217e+01
fs_hl,85,180,2.3,3.53880791e+01
ff_hh,27,180,2.1,5.57369927e+01
ss_tt,27,36000.0,2.3,4.39672854e+01
fs_hl,85,36000.0,2.3,3.50653419e+01
ff_hh,27,36000.0,2.1,5.53108467e+01
fs_hh,85,18,2.1,4.30203853e+01
fs_hl,0,18,2.3,3.56980274e+01
ff_hh,85,18,2.5,4.41626208e+01
fs_hh,85,180,2.1,4.24828933e+01
fs_hl,0,180,2.3,3.53880791e+01
ff_hh,85,180,2.5,4.38837902e+01
tt,27,36000.0,2.3,4.08546727e+01
fs_hh,85,36000.0,2.1,4.20967765e+01
fs_hl,0,36000.0,2.3,3.50653419e+01
ff_hh,85,36000.0,2.5,4.35754775e+01
fs_hh,0,18,2.1,4.30203853e+01
fs_hl,27,18,2.3,3.56980274e+01
ff_hh,0,18,2.5,4.41626208e+01
fs_hh,0,180,2.1,4.24840622e+01
fs_hl,27,180,2.3,3.53880791e+01
ff_hh,0,180,2.5,4.38837902e+01
fs_hh,0,36000.0,2.1,error
fs_hl,27,36000.0,2.3,3.50653419e+01
ff_hh,0,36000.0,2.5,4.35754775e+01
ss_lh,27,18,2.5,7.97915560e+01
tt_ll,27,180,2.5,7.18444686e+01
tt_ll,85,180,2.3,6.40993791e+01
ss_lh,27,180,2.5,7.78615229e+01
tt_ll,27,36000.0,2.5,7.22721608e+01
tt_ll,85,36000.0,2.3,6.62789299e+01
ss_lh,27,36000.0,2.5,7.83194583e+01
tt_ll,85,18,2.3,6.35816310e+01
tt_ll,0,18,2.3,6.35816310e+01
ss_lh,85,18,2.3,7.19927812e+01
tt_ll,0,180,2.3,6.40993791e+01
ss_lh,85,180,2.3,7.26787182e+01
ss_lh,85,36000.0,2.3,7.07686223e+01
tt_ll,0,36000.0,2.3,6.62789299e+01
tt_ll,27,18,2.3,6.35816310e+01
ss_lh,0,18,2.3,7.19927812e+01
ss_lh,0,180,2.3,7.26787182e+01
tt_ll,27,180,2.3,6.40993791e+01
ss_lh,0,36000.0,2.3,error
tt_ll,27,36000.0,2.3,6.62789299e+01
ss_lh,27,18,2.3,7.19927812e+01
tt,85,18,2.1,3.39799857e+01
tt,85,180,2.1,3.46986872e+01
ss_lh,27,180,2.3,7.26787182e+01
ss_lh,27,36000.0,2.3,7.07686223e+01
ss_ll,85,18,2.1,5.86278256e+01
tt,0,18,2.1,3.39799857e+01
tt,85,36000.0,2.1,3.50633379e+01
