corner,temp,resistor,supply,psr100,psr100k
ff_lh,85,18,2.5,-5.51878500e+01,-2.43735800e+01
sf_hl,85,180,2.5,-5.54697400e+01,-2.68567500e+01
sf_tt,85,180,2.1,-4.79884200e+01,-2.55233400e+01
ff_lh,85,180,2.5,-5.56140100e+01,-2.52202300e+01
sf_hl,27,18,2.1,-5.33181100e+01,-1.90029000e+01
sf_tt,85,36000.0,2.1,-4.84262700e+01,-2.58769800e+01
ff_lh,85,36000.0,2.5,-5.58519700e+01,-2.52695400e+01
sf_hl,0,18,2.5,-6.10371900e+01,-2.76578700e+01
sf_tt,0,18,2.1,error,error
ff_lh,0,18,2.5,-5.98820200e+01,-2.62463500e+01
sf_hl,0,180,2.5,-6.01706300e+01,-2.85527700e+01
sf_tt,0,180,2.1,error,error
ff_lh,0,180,2.5,error,error
sf_hl,0,36000.0,2.5,error,error
sf_tt,0,36000.0,2.1,error,error
ff_lh,0,36000.0,2.5,-4.74725900e-01,-4.73001200e-01
sf_hl,27,18,2.5,-8.37987100e+01,-2.70233600e+01
sf_tt,27,18,2.1,-5.24653300e+01,-1.79931100e+01
ff_lh,27,18,2.5,-7.50885400e+01,-2.56238600e+01
sf_hl,27,180,2.5,-7.58654500e+01,-2.79858400e+01
sf_tt,27,180,2.1,-6.89108300e+01,-2.66909200e+01
ff_lh,27,180,2.5,-7.26354600e+01,-2.63758500e+01
sf_hl,27,36000.0,2.5,-7.37764100e+01,-2.80733300e+01
sf_tt,27,36000.0,2.1,-7.36866600e+01,-2.70241500e+01
ff_lh,27,36000.0,2.5,-7.15805100e+01,-2.64254600e+01
sf_hl,85,18,2.3,-5.13189400e+01,-2.39797800e+01
sf_tt,85,18,2.5,-5.45077400e+01,-2.48611100e+01
ff_lh,85,18,2.3,-5.23972000e+01,-2.33212700e+01
sf_hl,85,36000.0,2.5,-5.57705800e+01,-2.69477200e+01
sf_tt,85,180,2.5,-5.52448700e+01,-2.59856500e+01
ff_lh,85,180,2.3,-5.30017200e+01,-2.51085900e+01
sf_hl,85,36000.0,2.3,-5.28544300e+01,-2.68783900e+01
sf_tt,85,36000.0,2.5,-5.55520800e+01,-2.60763400e+01
ff_lh,85,36000.0,2.3,-5.32679000e+01,-2.52051700e+01
sf_hl,0,18,2.3,error,error
sf_tt,0,18,2.5,error,error
ff_lh,0,18,2.3,-5.73191300e+01,-2.55060800e+01
sf_hl,0,180,2.3,error,error
sf_tt,0,180,2.5,error,error
ff_lh,0,180,2.3,-5.67313500e+01,-2.68499200e+01
sf_hl,85,180,2.3,-5.24994800e+01,-2.67252900e+01
sf_tt,0,36000.0,2.5,error,error
ff_lh,0,36000.0,2.3,-5.64885400e+01,-2.69470900e+01
sf_hl,27,18,2.3,-7.74472400e+01,-2.58027200e+01
sf_tt,27,18,2.5,-8.33732600e+01,-2.61542200e+01
